"","zipcode","estimate_households_under_10","estimate_households_10_15","estimate_households_15_25","estimate_households_25_35","estimate_households_35_45","estimate_households_50_75","estimate_households_75_100","estimate_households_100_150","estimate_households_150_200","estimate_households_over_200","median_income"
"29068","85008","7.2","6.9","14.6","15.2","18.0","20.3","8.0","7.3","2.0","0.6","39996"
"29069","85009","17.7","7.0","14.7","17.0","15.1","13.8","6.5","4.8","2.3","1.1","30760"
"29070","85012","8.7","7.6","6.2","4.4","9.6","19.4","11.9","10.3","7.9","14.0","67230"
"29071","85013","7.4","3.5","9.9","9.4","15.3","17.8","9.8","14.4","4.8","7.7","55585"
"29072","85014","8.5","6.2","12.0","8.2","14.9","20.7","11.3","10.5","3.4","4.0","50107"
"29073","85015","12.5","8.1","15.9","13.7","15.5","17.2","7.3","6.3","1.9","1.5","34636"
"29074","85016","7.2","5.1","10.2","8.6","14.5","15.1","12.3","12.4","6.3","8.3","56423"
"29075","85017","11.0","7.3","19.6","14.3","17.8","15.6","9.4","3.7","1.0","0.3","32237"
"29076","85018","6.9","3.2","8.3","8.9","13.6","13.4","8.9","14.9","6.3","15.6","66150"
"29077","85019","13.6","12.3","10.0","11.1","15.8","18.7","7.5","9.2","1.2","0.6","38363"
"29078","85020","7.2","4.3","10.8","9.8","14.8","18.1","10.4","12.3","5.7","6.6","53091"
"29079","85021","10.6","5.6","13.9","12.0","14.2","15.4","9.0","9.5","4.1","5.6","42266"
"29080","85022","5.3","3.4","10.0","10.4","15.9","17.5","14.1","13.5","4.3","5.7","55614"
"29081","85023","6.3","2.7","11.3","10.9","14.3","18.7","11.2","13.7","4.3","6.6","55644"
"29082","85024","3.2","1.5","6.9","8.2","10.4","20.7","16.0","18.5","7.4","7.2","72688"
"29083","85027","4.4","3.3","8.2","11.4","15.9","24.0","15.3","12.0","3.8","1.7","56184"
"29084","85028","3.3","1.8","6.5","6.5","9.2","14.6","13.8","20.1","10.4","13.9","89110"
"29085","85029","7.9","5.3","12.4","9.3","16.9","23.5","11.1","9.3","2.8","1.3","47365"
"29086","85031","16.2","8.0","13.9","10.7","18.3","16.7","8.3","6.9","0.7","0.3","35706"
"29087","85032","5.2","4.9","9.5","11.6","14.8","21.6","12.3","11.8","5.2","3.1","54161"
"29088","85033","6.1","5.7","14.5","15.1","19.9","20.9","9.2","6.8","1.1","0.8","39443"
"29089","85034","15.4","13.2","17.2","12.2","16.9","11.3","6.6","6.4","0.3","0.4","27391"
"29090","85035","7.0","6.2","12.9","15.2","18.7","20.8","10.7","6.8","1.0","0.7","41396"
"29091","85037","5.0","2.7","7.9","10.5","17.4","26.3","14.9","11.5","2.9","1.0","56370"
"29092","85040","11.7","9.3","14.8","10.2","17.8","18.6","7.0","8.4","1.7","0.4","38543"
"29093","85041","7.0","4.9","10.0","11.9","13.0","21.0","13.6","12.4","2.5","3.8","53597"
"29094","85042","5.6","4.6","8.6","10.4","17.8","16.2","14.7","13.2","5.6","3.3","53824"
"29095","85043","6.1","5.7","7.5","10.9","18.5","24.3","11.9","11.3","2.1","1.7","50873"
"29096","85044","3.8","1.5","5.0","7.8","11.8","21.1","12.8","17.6","9.0","9.5","73789"
"29097","85045","2.0","1.4","0.9","1.9","4.6","12.9","11.0","22.0","17.3","25.9","138777"
"29098","85048","2.6","1.8","4.4","4.4","7.5","14.8","13.0","24.3","11.1","16.1","102494"
"29099","85050","2.2","3.1","6.3","3.9","11.4","14.3","14.1","20.9","9.0","14.7","89489"
"29100","85051","9.9","5.4","11.8","10.2","20.2","18.3","11.6","8.0","2.6","1.9","42080"
"29101","85053","6.8","3.9","8.3","12.9","14.9","22.2","13.6","11.4","3.7","2.3","53142"
"29102","85054","2.4","2.4","2.1","3.0","12.2","17.8","14.5","25.7","8.7","11.1","88867"
"29103","85083","1.3","0.4","2.3","2.1","5.6","14.2","15.4","29.8","14.5","14.3","109750"
"29104","85085","3.0","0.9","2.0","7.2","13.7","16.5","13.1","19.3","11.4","12.9","87058"
"29105","85086","2.5","1.2","3.4","4.9","10.8","14.6","12.5","25.4","11.7","12.9","99982"
"29106","85087","2.8","0.5","5.0","11.9","10.5","23.3","10.2","19.7","10.4","5.6","71295"
"29107","85118","4.8","1.7","8.8","9.2","13.3","19.8","15.1","15.5","4.5","7.2","64449"
"29108","85119","8.4","3.5","12.4","12.1","14.4","18.7","17.2","8.9","3.0","1.4","48961"
"29109","85120","9.8","5.2","14.3","13.5","17.2","20.8","8.3","8.1","1.2","1.5","41386"
"29110","85121","52.8","12.2","13.4","4.9","8.3","1.6","2.8","2.6","0.0","1.6","8939"
"29111","85122","8.3","5.1","10.4","12.9","14.9","19.8","13.4","10.1","3.6","1.5","48289"
"29112","85123","6.0","5.8","17.8","10.4","19.2","22.7","9.8","5.0","2.0","1.2","42418"
