"","zipcode","estimate_households_under_10","estimate_households_10_15","estimate_households_15_25","estimate_households_25_35","estimate_households_35_45","estimate_households_50_75","estimate_households_75_100","estimate_households_100_150","estimate_households_150_200","estimate_households_over_200","median_income"
"2","00601","41.4","15.2","15.3","10.8","10.5","5.3","0.6","0.4","0.3","0.1","13092"
"3","00602","30.6","15.9","19.2","11.0","10.1","7.9","2.6","2.1","0.6","0.0","16358"
"4","00603","32.8","13.5","16.9","11.5","10.6","8.4","2.7","2.3","0.5","0.7","16603"
"5","00606","42.3","13.3","19.6","11.9","10.3","2.8","0.0","0.0","0.0","0.0","12832"
"6","00610","24.6","16.1","20.3","11.2","13.7","10.1","1.8","1.8","0.0","0.4","19309"
"7","00612","32.6","11.2","20.0","10.9","11.6","9.2","2.8","1.3","0.3","0.1","18171"
"8","00616","34.3","12.7","18.0","12.9","10.0","8.0","1.9","1.5","0.0","0.7","16018"
"9","00617","33.7","12.1","20.0","12.2","10.1","7.1","3.8","1.0","0.0","0.0","16735"
"10","00622","34.2","15.0","15.0","14.9","8.3","7.3","1.2","0.8","2.0","1.4","15206"
"11","00623","33.4","13.0","19.3","11.7","9.2","8.3","2.7","1.7","0.5","0.0","16280"
"12","00624","28.0","14.7","19.4","14.3","12.9","7.3","1.8","1.1","0.1","0.2","17578"
"13","00627","29.3","14.9","21.7","10.9","9.5","8.8","2.4","1.9","0.2","0.4","16831"
"14","00631","51.0","18.7","8.6","5.9","6.4","7.2","2.3","0.0","0.0","0.0","9681"
"15","00637","29.3","16.4","18.7","12.8","10.6","8.0","2.4","1.5","0.1","0.2","16887"
"16","00638","35.3","15.0","20.0","9.4","12.6","5.6","1.4","0.5","0.1","0.1","14916"
"17","00641","33.1","12.5","19.9","14.6","10.2","6.4","2.2","0.8","0.2","0.1","16795"
"18","00646","20.0","8.4","17.4","10.6","12.3","14.6","6.1","5.4","2.1","3.1","29320"
"19","00647","32.7","23.3","24.8","9.0","4.0","5.3","0.9","0.0","0.0","0.0","13674"
"20","00650","26.3","14.1","24.5","10.6","12.4","8.1","3.0","0.8","0.0","0.2","19631"
"21","00652","19.2","14.2","27.5","14.0","12.6","7.4","1.0","4.0","0.0","0.0","21650"
"22","00653","42.6","14.0","19.1","10.0","8.2","5.1","0.2","0.2","0.1","0.5","12915"
"23","00656","28.8","15.8","22.3","13.3","10.3","6.8","2.0","0.5","0.0","0.2","16902"
"24","00659","28.4","15.8","18.9","10.4","9.9","10.4","2.7","2.9","0.4","0.3","17201"
"25","00660","28.9","12.3","20.9","11.4","13.2","8.9","2.0","1.8","0.1","0.6","19394"
"26","00662","30.4","14.0","19.8","12.5","12.3","6.7","2.5","1.2","0.1","0.4","17180"
"27","00664","34.2","15.4","23.1","11.9","7.3","4.8","2.5","0.9","0.0","0.0","15253"
"28","00667","39.5","15.2","16.9","11.8","9.9","4.5","1.5","0.2","0.5","0.1","13766"
"29","00669","37.6","12.9","18.4","10.4","10.5","7.9","0.7","1.3","0.1","0.2","14816"
"30","00670","38.8","14.5","15.2","10.6","12.0","6.7","1.2","0.9","0.0","0.0","13427"
"31","00674","29.3","13.2","18.2","12.1","10.1","10.6","3.0","3.0","0.3","0.1","19211"
"32","00676","36.5","15.5","18.3","9.4","9.7","7.3","1.3","1.2","0.1","0.5","14146"
"33","00677","29.0","7.1","17.2","16.9","13.2","11.8","2.4","1.7","0.2","0.4","21673"
"34","00678","32.3","15.5","19.7","9.5","11.0","8.9","1.6","1.2","0.1","0.1","16200"
"35","00680","39.1","13.7","17.6","8.9","10.5","5.9","1.8","1.5","0.5","0.4","13911"
"36","00682","39.7","10.2","14.5","10.9","9.4","6.9","4.0","2.6","0.8","1.0","15029"
"37","00683","35.0","13.9","19.9","10.6","8.5","7.3","2.0","1.6","0.6","0.5","15523"
"38","00685","34.8","16.3","18.5","10.7","10.1","7.0","1.4","0.7","0.4","0.1","14617"
"39","00687","23.9","10.2","26.4","14.4","11.4","8.1","3.7","0.9","0.3","0.6","20589"
"40","00688","31.9","12.9","21.0","13.8","9.3","7.7","2.7","0.4","0.0","0.2","17231"
"41","00690","27.8","17.4","21.8","8.9","4.0","14.4","4.9","0.9","0.0","0.0","17622"
"42","00692","24.9","15.0","18.9","11.3","11.3","8.1","5.2","2.8","1.2","1.2","19094"
"43","00693","29.0","12.6","18.1","13.1","10.2","11.2","3.3","1.7","0.5","0.4","19119"
"44","00694","0.0","41.4","58.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-"
"45","00698","35.9","14.1","18.1","11.4","10.4","6.9","1.8","1.1","0.3","0.0","15019"
"46","00703","30.9","13.4","19.1","11.4","12.3","8.3","2.5","1.3","0.4","0.4","17129"
"47","00704","33.4","19.4","20.8","12.1","5.0","7.8","0.7","0.9","0.0","0.0","14293"
"48","00705","25.6","12.8","22.0","16.7","10.0","7.9","2.3","2.4","0.2","0.1","19516"
"49","00707","27.2","11.6","24.8","12.4","13.0","9.9","0.1","0.3","0.0","0.6","19596"
"50","00714","28.3","17.5","20.7","16.8","9.1","5.2","1.0","1.3","0.0","0.0","17095"
"51","00715","36.1","24.5","20.2","8.9","6.7","2.7","0.0","0.0","0.0","0.8","13070"
"52","00716","33.1","10.3","16.7","12.9","10.2","6.9","4.5","2.2","1.7","1.6","18818"
"53","00717","43.2","11.3","14.3","9.7","8.5","7.2","3.0","1.3","1.2","0.3","12251"
"54","00718","24.8","12.5","26.0","14.1","9.5","10.1","2.4","0.3","0.4","0.0","19318"
"55","00719","29.8","9.7","20.2","13.8","12.7","9.8","2.6","1.0","0.2","0.1","19757"
"56","00720","38.2","16.2","16.3","12.0","10.2","5.4","0.2","1.0","0.2","0.2","13408"
"57","00723","34.7","13.3","22.7","10.9","9.0","6.8","1.8","0.5","0.0","0.4","15826"
"58","00725","25.8","11.5","19.3","11.9","11.2","10.4","5.4","2.9","1.1","0.5","20920"
"59","00727","16.8","8.2","15.7","13.7","15.5","15.4","6.3","4.9","2.1","1.4","31401"
"60","00728","24.9","13.7","22.5","12.6","12.6","9.2","3.1","1.2","0.2","0.1","19047"
"61","00729","24.0","11.8","19.9","12.0","15.1","9.4","4.2","2.4","0.5","0.7","20920"
"62","00730","35.9","12.9","17.5","11.7","9.9","5.8","3.0","1.4","0.9","0.8","15431"
"63","00731","32.6","14.8","14.6","14.6","11.4","6.4","2.4","1.5","0.9","0.7","17083"
"64","00735","25.3","12.1","22.4","15.5","12.4","6.6","1.9","3.2","0.0","0.7","19184"
"65","00736","25.4","11.8","21.3","12.1","11.7","9.6","4.1","2.8","0.7","0.4","21000"
"66","00738","27.8","10.0","21.3","13.3","12.5","8.2","4.9","1.3","0.3","0.4","19404"
"67","00739","24.0","12.7","21.7","11.9","12.1","10.2","3.3","3.1","0.6","0.5","20098"
"68","00740","46.4","10.5","21.3","12.7","3.8","5.3","0.0","0.0","0.0","0.0","13136"
"69","00741","22.3","15.3","15.4","19.4","17.7","7.4","0.5","1.9","0.0","0.0","22073"
"70","00745","22.2","10.4","22.0","13.4","14.0","11.6","2.9","2.6","0.6","0.1","22782"
"71","00751","30.7","13.7","20.4","12.4","12.3","6.5","2.5","1.2","0.3","0.0","17567"
"72","00754","27.0","13.4","20.6","12.1","11.3","10.2","2.6","2.1","0.1","0.4","18895"
"73","00757","28.3","15.2","19.2","9.9","11.4","10.7","2.3","2.5","0.5","0.1","17640"
"74","00765","29.0","20.4","16.8","12.8","12.6","6.4","0.4","1.7","0.0","0.0","15271"
"75","00766","24.8","14.0","20.2","14.7","13.0","9.1","2.4","1.5","0.2","0.2","19746"
"76","00767","33.8","13.8","18.4","14.7","8.9","6.5","2.2","1.5","0.1","0.1","15999"
"77","00769","30.1","12.0","15.4","14.4","12.9","8.0","4.6","1.6","0.4","0.5","19928"
"78","00771","24.5","13.6","18.1","14.4","13.4","9.6","3.2","2.1","0.3","1.0","21499"
"79","00772","37.8","10.4","18.9","11.5","11.7","6.6","2.4","0.8","0.0","0.0","15658"
"80","00773","26.5","10.7","20.4","13.1","12.9","9.5","4.4","1.6","0.4","0.5","20829"
"81","00775","19.8","18.7","15.1","17.0","15.7","8.8","4.9","0.0","0.0","0.0","23281"
"82","00777","28.0","12.9","21.0","11.2","12.5","10.8","2.8","0.7","0.1","0.1","19139"
"83","00778","18.7","7.8","13.2","12.1","14.0","13.8","8.2","7.1","3.0","1.9","33763"
"84","00780","32.6","4.6","14.2","17.4","9.8","10.6","4.1","3.0","0.8","2.9","24287"
"85","00782","41.3","15.6","17.7","10.6","7.6","5.8","1.0","0.4","0.0","0.0","12492"
"86","00783","38.7","12.0","17.8","12.3","9.4","6.8","2.1","0.5","0.3","0.0","14748"
"87","00784","30.8","14.9","20.9","11.1","9.9","7.9","2.6","1.6","0.0","0.2","16680"
"88","00786","0.0","17.3","34.6","0.0","26.0","22.0","0.0","0.0","0.0","0.0","-"
"89","00791","25.1","12.7","21.7","14.9","11.3","7.9","2.8","2.1","0.4","1.0","19793"
"90","00794","34.9","12.6","17.8","13.2","12.0","6.9","1.6","0.5","0.0","0.5","15970"
"91","00795","25.9","12.4","19.4","12.8","13.4","10.1","2.9","2.2","0.7","0.1","20700"
"92","00901","30.8","8.6","15.1","7.4","8.2","7.7","4.6","6.7","4.3","6.5","20943"
"93","00906","11.3","0.0","13.0","0.0","0.0","12.2","11.3","18.3","27.8","6.1","102917"
"94","00907","15.6","8.4","13.8","13.5","11.5","11.9","7.9","8.5","3.6","5.3","33167"
"95","00909","34.3","11.5","16.1","8.2","9.8","9.3","6.2","3.2","1.2","0.2","16875"
"96","00911","20.7","10.2","9.8","12.2","11.8","15.6","5.8","7.7","2.4","3.8","32833"
"97","00912","23.8","11.9","17.7","12.7","13.3","8.3","4.6","3.9","1.5","2.2","22268"
"98","00913","60.8","9.4","13.5","4.1","2.6","4.1","2.6","2.2","0.0","0.7","6878"
"99","00915","40.0","13.2","20.8","10.8","8.0","4.8","1.3","0.6","0.2","0.3","13839"
"100","00917","36.3","15.5","17.7","10.4","8.5","5.2","2.4","2.7","0.4","0.9","14307"
"101","00918","29.8","10.2","11.6","9.4","9.4","12.5","5.7","6.3","3.7","1.3","23434"
"102","00920","18.0","11.2","19.2","15.8","12.9","14.8","4.0","2.4","1.4","0.4","25841"
"103","00921","30.2","10.1","18.7","10.7","13.0","11.0","3.6","1.4","0.5","0.7","19358"
"104","00923","40.4","11.7","16.2","11.5","9.9","5.8","2.7","1.4","0.1","0.2","14241"
"105","00924","34.1","9.5","15.2","10.8","11.1","11.5","3.0","3.4","0.7","0.8","18832"
"106","00925","52.5","9.9","15.7","5.9","8.5","5.5","0.3","0.8","0.0","1.0","9468"
"107","00926","18.3","8.2","13.2","10.5","12.4","13.6","9.2","7.4","3.0","4.1","34781"
"108","00927","15.3","10.3","13.3","13.3","14.2","12.7","7.3","6.4","3.4","3.7","33502"
"109","00934","0.0","0.0","55.9","0.0","0.0","44.1","0.0","0.0","0.0","0.0","-"
"110","00936","-","-","-","-","-","-","-","-","-","-","-"
"111","00949","21.1","9.1","17.1","14.0","14.0","14.4","5.7","3.6","0.6","0.4","26392"
"112","00950","-","-","-","-","-","-","-","-","-","-","-"
"113","00951","-","-","-","-","-","-","-","-","-","-","-"
"114","00952","33.2","17.2","18.7","11.8","9.8","5.1","3.2","1.1","0.0","0.0","14911"
"115","00953","19.3","8.6","15.2","14.8","11.6","14.3","7.5","6.4","1.4","0.9","29146"
"116","00956","23.2","11.5","18.0","13.0","14.5","12.9","4.5","1.8","0.3","0.1","23149"
"117","00957","22.3","9.9","18.5","11.9","16.2","11.8","4.7","3.4","0.8","0.6","24612"
"118","00959","19.0","8.5","15.7","12.3","15.6","15.2","8.1","3.6","1.1","0.8","30049"
"119","00960","-","-","-","-","-","-","-","-","-","-","-"
"120","00961","20.9","7.9","16.0","11.3","13.3","15.1","6.4","5.9","1.8","1.3","29197"
"121","00962","36.1","11.3","16.8","10.4","12.1","7.7","2.1","1.8","1.0","0.7","16062"
"122","00965","35.5","15.2","17.3","12.5","10.0","6.4","1.7","1.1","0.0","0.4","14821"
"123","00966","13.1","7.9","10.5","10.2","10.8","14.6","7.0","10.6","6.4","8.9","47315"
"124","00968","14.8","7.6","9.8","11.0","9.3","16.6","7.3","7.9","3.9","11.7","48175"
"125","00969","11.4","6.5","9.4","10.8","10.4","17.0","8.9","12.9","5.2","7.6","51910"
"126","00971","21.7","15.7","19.9","11.3","10.5","10.8","3.4","5.0","0.8","1.0","20608"
"127","00976","17.5","9.5","14.6","13.3","15.3","14.8","7.0","4.9","1.9","1.2","31304"
"128","00979","8.2","6.0","20.4","14.2","11.3","18.5","7.2","8.7","1.6","3.9","36270"
"129","00982","20.9","9.0","20.2","12.3","20.2","10.6","3.8","2.1","0.9","0.0","24970"
"130","00983","19.3","11.2","18.0","13.2","15.3","15.3","3.9","2.6","0.8","0.4","26259"
"131","00985","18.7","9.3","21.3","14.8","14.4","13.4","4.9","2.7","0.1","0.3","25338"
"132","00987","16.0","7.4","14.6","14.6","15.7","16.0","8.2","5.1","1.3","1.0","33042"
"133","01001","5.4","4.8","8.9","6.9","12.6","19.3","11.1","19.1","7.6","4.3","62144"
"134","01002","12.4","5.2","8.2","10.6","9.9","10.8","11.9","13.6","7.8","9.6","55858"
"135","01003","61.1","27.8","0.0","0.0","0.0","0.0","11.1","0.0","0.0","0.0","2,500-"
"136","01005","2.7","2.3","7.1","4.6","13.8","25.3","4.7","20.5","10.2","8.7","68278"
"137","01007","2.6","2.7","3.7","8.6","6.4","12.7","17.7","22.0","12.7","10.8","93300"
"138","01008","1.2","1.6","5.7","11.0","8.6","21.6","14.3","25.9","4.3","5.9","75250"
"139","01009","10.5","0.0","0.0","0.0","0.0","31.4","27.6","30.5","0.0","0.0","81250"
"140","01010","1.3","6.6","9.0","7.8","11.7","8.2","13.6","21.6","11.0","9.0","84471"
"141","01011","6.3","6.2","7.6","7.2","10.5","16.5","14.1","22.3","5.3","4.0","64904"
"142","01012","4.4","2.4","10.7","7.1","16.3","21.4","13.9","10.3","7.9","5.6","64091"
"143","01013","7.6","7.4","16.4","13.9","11.5","17.8","12.5","8.6","2.1","2.1","40594"
"144","01020","4.9","5.5","10.1","7.6","16.6","16.6","15.9","16.2","4.7","2.0","58226"
"145","01022","2.2","4.2","12.3","18.2","25.6","15.8","7.5","12.5","1.6","0.0","41863"
"146","01026","4.2","4.7","10.5","11.6","14.7","19.4","15.1","11.8","5.3","2.7","55268"
"147","01027","2.4","5.0","7.0","10.7","14.1","19.4","14.4","17.5","5.2","4.2","62772"
"148","01028","1.4","3.1","7.8","7.3","9.8","12.5","15.8","23.0","9.9","9.4","88442"
"149","01029","5.7","6.7","11.0","13.4","8.1","11.3","19.8","11.3","4.6","8.1","72813"
"150","01030","2.0","3.3","6.5","7.9","10.5","20.9","13.3","17.1","12.7","6.0","74139"
"151","01031","12.4","11.8","10.7","7.1","13.2","11.8","11.6","11.0","4.5","5.7","42188"
"152","01032","0.0","8.3","3.1","11.4","9.6","11.0","15.8","35.1","5.7","0.0","80500"
"153","01033","2.6","2.8","6.0","8.6","10.5","8.7","13.9","23.4","15.3","8.3","95987"
"154","01034","0.8","2.9","6.1","5.2","8.8","18.8","14.6","27.0","8.2","7.6","84926"
"155","01035","3.0","6.1","3.1","13.5","9.5","20.5","11.1","15.2","11.5","6.4","64276"
"156","01036","2.4","2.9","7.7","5.1","8.7","15.9","16.8","17.0","13.9","9.6","85943"
"157","01037","0.0","0.0","0.0","10.5","7.3","18.2","18.6","35.2","5.7","4.5","96302"
"158","01038","1.8","5.0","3.0","16.1","9.8","20.0","14.1","18.3","4.1","7.8","66818"
"159","01039","4.3","4.3","7.6","4.9","12.7","14.9","10.8","20.2","6.5","13.9","77679"
"160","01040","12.5","10.4","12.5","10.5","11.2","15.6","9.9","9.1","5.5","2.8","40656"
"161","01050","4.7","4.0","10.7","3.6","17.5","16.1","15.8","20.3","5.2","2.2","63427"
"162","01053","9.8","1.1","8.7","14.2","9.6","20.6","14.1","8.2","7.4","6.4","59074"
"163","01054","1.4","2.8","6.4","6.8","8.1","14.2","15.4","17.6","9.6","17.7","91500"
"164","01056","3.5","2.4","7.6","8.5","10.6","19.7","16.6","18.0","7.7","5.2","72040"
"165","01057","2.6","1.8","6.7","7.5","11.7","15.7","16.8","21.5","8.5","7.4","82444"
"166","01060","7.8","8.7","8.6","8.5","10.0","15.9","12.2","13.0","6.8","8.3","60020"
"167","01062","7.6","3.1","6.1","10.8","9.2","14.3","15.9","18.1","6.4","8.6","73954"
"168","01063","-","-","-","-","-","-","-","-","-","-","-"
"169","01066","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","-"
"170","01068","0.4","1.3","6.0","4.0","13.0","17.8","16.9","24.0","10.4","6.1","84375"
"171","01069","5.2","3.5","11.2","4.6","16.2","16.9","13.7","18.0","6.8","3.9","63398"
"172","01070","0.8","4.2","13.8","10.7","18.4","21.8","13.4","5.7","6.5","4.6","53750"
"173","01071","2.7","3.1","4.3","7.8","16.0","15.0","26.3","18.1","3.7","2.9","75491"
"174","01072","2.0","4.3","7.8","8.8","8.0","17.1","16.2","20.6","12.2","3.1","78696"
"175","01073","1.7","2.7","6.9","7.7","6.6","17.3","9.1","21.8","13.2","13.0","93854"
"176","01074","0.0","0.0","0.0","0.0","25.8","25.8","48.3","0.0","0.0","0.0","64840"
"177","01075","4.9","4.0","9.4","7.3","12.3","18.2","13.0","18.2","7.5","5.3","65898"
"178","01077","5.6","2.9","4.5","12.6","10.1","13.6","13.4","17.2","12.0","8.1","77734"
"179","01079","0.0","10.0","20.4","36.4","0.0","3.4","15.4","11.0","0.0","3.4","31875"
"180","01080","9.4","2.1","17.0","5.8","11.9","18.8","16.3","10.1","6.7","1.9","58139"
"181","01081","1.2","3.4","18.7","9.0","12.4","21.2","14.5","11.4","6.2","2.2","54647"
"182","01082","7.8","4.3","9.8","6.8","17.1","17.8","11.9","18.5","3.2","2.8","54107"
"183","01083","4.4","7.0","13.9","8.3","8.9","8.5","22.9","16.7","6.7","2.6","70288"
"184","01084","0.0","3.9","13.2","6.6","10.5","13.2","21.1","19.7","2.6","9.2","83750"
"185","01085","3.7","3.7","6.9","9.8","14.5","20.7","11.2","16.1","8.1","5.2","64026"
"186","01086","-","-","-","-","-","-","-","-","-","-","-"
"187","01088","16.1","9.0","4.3","12.3","9.0","20.4","17.5","8.1","3.3","0.0","47232"
"188","01089","7.9","4.3","10.5","11.8","14.7","17.2","11.7","13.0","4.0","4.9","51472"
"189","01092","4.8","4.1","11.1","0.0","4.4","15.9","16.9","25.6","11.3","5.9","79907"
"190","01093","0.0","6.0","8.6","1.7","7.8","12.9","13.8","14.7","19.8","14.7","89643"
"191","01094","10.8","10.2","28.4","13.6","13.6","4.0","4.0","10.8","0.0","4.5","25104"
"192","01095","3.6","0.3","6.4","5.4","8.9","9.9","11.2","24.8","11.5","18.1","107361"
"193","01096","2.2","3.5","8.1","5.7","10.5","13.3","16.6","26.5","5.4","8.1","83080"
"194","01097","0.0","0.0","47.6","14.3","0.0","38.1","0.0","0.0","0.0","0.0","-"
"195","01098","1.6","6.4","7.3","7.5","8.4","17.4","14.6","24.6","5.5","6.8","78393"
"196","01103","20.3","21.9","13.0","10.5","11.4","11.1","3.5","5.0","2.9","0.5","18338"
"197","01104","9.2","11.0","19.5","15.7","13.4","12.9","8.7","5.9","2.0","1.7","31113"
"198","01105","23.3","18.1","18.4","16.7","9.1","5.7","5.5","1.6","1.0","0.6","19921"
"199","01106","2.1","2.4","3.8","4.8","7.2","11.0","12.7","23.3","12.4","20.4","111545"
"200","01107","17.1","16.0","14.2","13.0","11.9","11.4","6.2","7.2","1.3","1.8","27131"
"201","01108","12.7","8.6","13.2","11.0","11.9","17.2","10.6","9.6","2.4","2.8","40915"
"202","01109","12.1","10.8","17.0","11.1","14.5","14.4","9.4","7.8","2.1","0.9","34329"
"203","01118","8.2","4.4","6.3","6.8","12.0","20.1","11.6","20.2","6.8","3.6","61786"
"204","01119","8.2","10.8","10.3","12.3","11.5","18.0","11.9","13.0","3.0","1.1","44091"
"205","01128","1.7","4.1","12.9","10.6","5.0","25.0","6.8","25.0","5.8","3.2","61875"
"206","01129","6.6","4.1","8.8","3.1","17.0","24.0","12.4","15.1","5.5","3.5","61645"
"207","01151","9.1","7.1","13.6","13.1","19.6","15.6","10.5","8.8","1.9","0.7","41002"
"208","01199","-","-","-","-","-","-","-","-","-","-","-"
"209","01201","7.1","6.3","12.7","10.5","14.0","16.1","11.2","13.8","4.7","3.6","49385"
"210","01220","5.9","5.5","10.5","11.5","17.6","19.1","8.8","12.8","6.7","1.6","49301"
"211","01222","2.7","5.3","3.0","8.0","21.7","19.9","22.0","9.8","5.3","2.4","69432"
"212","01223","1.9","3.0","7.9","7.7","11.2","17.6","17.2","21.4","6.5","5.7","75852"
"213","01224","13.5","0.0","35.7","0.0","34.1","0.0","16.7","0.0","0.0","0.0","37576"
"214","01225","5.6","3.0","7.2","6.9","10.5","21.7","23.8","15.5","2.5","3.1","68264"
"215","01226","5.3","2.4","7.0","10.9","17.3","21.3","12.5","12.2","3.7","7.5","59875"
"216","01229","14.0","44.2","0.0","11.6","0.0","16.3","14.0","0.0","0.0","0.0","-"
"217","01230","7.0","2.0","9.7","8.6","14.8","11.5","14.1","20.3","5.5","6.6","67674"
"218","01235","2.7","3.7","4.8","6.9","12.9","26.8","16.3","13.0","7.6","5.3","66581"
"219","01236","2.6","1.9","3.7","13.2","11.9","24.2","8.2","13.2","12.1","8.9","65833"
"220","01237","7.2","0.4","7.3","6.5","8.2","17.5","19.6","17.7","8.7","7.1","78194"
"221","01238","2.8","2.2","9.7","6.8","12.2","17.8","13.4","23.9","3.5","7.7","72744"
"222","01240","4.4","3.3","7.8","11.5","9.1","16.4","12.3","16.5","5.2","13.5","72766"
"223","01242","0.0","0.0","0.0","7.6","9.3","29.7","29.1","24.4","0.0","0.0","85789"
"224","01243","6.4","0.0","14.3","10.0","12.9","19.3","7.1","10.7","7.1","12.1","69167"
"225","01244","0.0","0.0","24.4","0.0","22.0","22.0","24.4","0.0","0.0","7.3","55417"
"226","01245","2.6","1.0","6.3","13.0","12.7","14.2","8.4","24.3","8.4","9.1","75167"
"227","01247","8.9","8.1","13.8","11.9","13.8","17.2","11.0","10.5","2.2","2.7","41807"
"228","01253","0.9","6.3","6.3","6.6","8.8","18.5","13.4","24.5","8.8","6.0","77375"
"229","01254","6.3","0.8","4.5","4.7","14.3","16.4","7.2","20.0","3.7","22.1","85313"
"230","01255","2.8","3.1","4.5","8.5","7.0","27.0","14.1","13.2","13.8","5.9","69135"
"231","01256","0.7","3.7","9.8","13.1","13.5","22.9","11.8","16.2","4.4","4.0","60197"
"232","01257","2.7","2.9","7.9","14.4","4.8","12.8","10.2","22.2","10.0","12.1","94625"
"233","01258","3.0","4.7","5.2","9.5","15.5","21.6","13.4","7.8","9.5","9.9","67500"
"234","01259","1.4","9.7","2.5","6.5","15.5","17.0","6.1","15.9","9.0","16.2","60625"
"235","01260","7.2","7.2","0.0","11.2","13.8","0.0","0.0","39.5","13.8","7.2","115208"
"236","01262","5.4","4.1","26.0","21.5","9.2","14.2","5.0","6.5","3.2","4.9","31144"
"237","01264","3.9","7.9","13.2","2.6","5.3","22.4","13.2","6.6","9.2","15.8","66875"
"238","01266","2.3","6.3","8.0","6.7","12.5","18.1","14.6","14.0","4.5","13.0","71989"
"239","01267","3.6","4.8","6.0","7.5","7.2","16.0","12.4","20.5","12.2","9.8","82863"
"240","01270","2.4","3.9","4.8","4.8","11.4","19.2","10.5","20.1","10.2","12.9","83333"
"241","01301","4.6","6.9","14.2","10.1","14.6","18.0","13.3","11.7","3.8","2.8","49312"
"242","01330","2.2","2.7","2.0","7.3","18.0","22.1","15.8","13.9","7.7","8.2","71346"
"243","01331","4.2","7.1","10.5","8.6","14.6","17.7","12.4","19.4","3.7","1.7","57164"
"244","01337","2.5","3.2","9.1","8.2","13.8","22.9","11.4","14.9","8.4","5.7","67470"
"245","01338","0.0","0.0","0.0","18.0","12.0","36.0","22.0","12.0","0.0","0.0","60625"
"246","01339","4.3","1.6","9.8","12.4","11.7","17.6","20.9","14.7","2.8","4.3","61500"
"247","01340","6.3","4.4","5.5","9.6","13.9","29.7","12.7","11.4","2.8","3.6","55980"
"248","01341","1.3","0.8","3.6","6.8","5.3","23.6","8.3","23.2","13.2","14.0","100417"
"249","01342","0.0","5.5","6.6","2.4","8.8","22.8","13.8","26.7","6.8","6.8","77202"
"250","01343","0.0","16.7","20.8","0.0","0.0","8.3","33.3","20.8","0.0","0.0","76250"
"251","01344","2.2","4.6","11.4","6.0","18.1","17.0","18.2","13.9","6.7","1.7","61359"
"252","01346","6.4","3.5","8.1","9.2","5.8","21.4","11.6","24.9","4.6","4.6","63036"
"253","01347","8.9","0.0","0.0","10.1","17.7","38.0","0.0","25.3","0.0","0.0","54250"
"254","01349","1.3","4.8","5.4","1.3","16.8","26.8","22.9","13.4","7.3","0.0","64219"
"255","01350","10.6","10.6","21.3","19.1","17.0","6.4","2.1","6.4","6.4","0.0","26458"
"256","01351","2.5","4.6","7.6","0.0","18.6","13.9","24.1","15.8","6.8","6.2","78849"
"257","01354","2.8","2.3","5.0","9.4","15.3","22.2","15.1","18.8","6.1","3.1","67083"
"258","01355","2.7","4.2","8.1","4.9","14.8","18.5","14.0","22.7","5.2","4.9","68250"
"259","01360","4.9","2.8","6.3","4.4","14.4","17.4","15.6","21.5","9.1","3.6","72083"
"260","01364","3.5","11.7","10.5","13.6","13.1","13.3","13.1","13.7","6.2","1.3","46405"
"261","01366","2.0","4.8","9.7","10.7","7.1","22.6","14.9","12.5","8.5","7.1","68405"
"262","01367","2.3","2.3","19.4","15.3","7.7","15.3","18.0","14.4","3.2","2.3","54500"
"263","01368","0.6","4.0","8.7","1.4","17.9","19.3","14.5","28.0","3.4","2.2","72083"
"264","01370","7.6","4.1","11.8","8.4","10.7","18.0","16.4","15.0","2.9","5.1","57083"
"265","01373","3.0","1.9","9.5","5.3","8.4","24.2","14.4","16.0","9.9","7.5","73639"
"266","01375","6.8","0.8","16.0","10.1","5.9","27.1","9.9","11.9","8.8","2.7","61102"
"267","01376","6.9","7.6","18.4","9.9","14.2","15.4","12.9","10.5","1.0","3.2","41496"
"268","01378","4.4","5.3","5.3","16.2","10.0","22.1","14.7","15.3","5.3","1.2","56250"
"269","01379","10.1","10.6","10.9","9.9","11.2","16.9","14.8","10.9","2.6","2.1","44531"
"270","01420","6.3","6.7","9.7","10.1","12.9","18.5","13.7","14.2","4.9","3.1","55277"
"271","01430","1.2","1.2","2.2","5.1","8.8","15.7","17.8","27.2","8.8","12.0","97561"
"272","01431","1.0","1.4","3.1","5.1","5.9","18.6","13.2","32.2","12.3","7.2","101357"
"273","01432","3.5","4.9","3.4","2.6","8.3","19.1","13.0","24.6","10.6","10.0","91156"
"274","01434","6.1","0.0","0.0","0.0","29.7","21.7","0.0","30.2","2.8","9.4","66477"
"275","01436","0.8","1.4","19.0","8.6","9.6","19.2","11.6","23.5","3.7","2.6","58458"
"276","01438","7.8","0.0","0.0","0.0","0.0","23.8","17.5","28.2","22.8","0.0","117917"
"277","01440","6.3","7.3","10.4","11.0","14.9","17.9","13.9","11.7","3.4","3.3","50239"
"278","01450","2.3","2.0","6.1","4.9","4.3","10.0","9.0","20.4","14.9","26.2","126883"
"279","01451","1.0","0.0","3.9","2.9","4.6","10.0","6.1","18.4","14.5","38.5","155515"
"280","01452","0.0","7.2","3.6","3.3","11.8","13.1","15.1","21.8","14.1","10.1","95530"
"281","01453","5.7","5.0","11.6","9.6","11.9","17.5","13.2","15.3","6.0","4.2","58205"
