"","zipcode","total_population"
"286","01467","232"
"287","01468","3464"
"288","01469","5941"
"289","01473","6305"
"290","01474","1864"
"291","01475","8197"
"292","01501","13041"
"293","01503","2412"
"294","01504","7515"
"295","01505","3723"
"296","01506","2779"
"297","01507","11169"
"298","01510","10220"
"299","01515","1846"
"300","01516","7518"
"301","01518","2504"
"302","01519","5642"
"303","01520","12316"
"304","01521","2018"
"305","01522","2872"
"306","01523","5172"
"307","01524","5443"
"308","01525","234"
"309","01527","10723"
"310","01529","2799"
"311","01531","841"
"312","01532","12328"
"313","01534","4671"
"314","01535","3833"
"315","01536","5386"
"316","01537","1704"
"317","01540","9499"
"318","01541","3028"
"319","01542","1834"
"320","01543","7023"
"321","01545","30129"
"322","01550","12703"
"323","01560","3658"
"324","01561","190"
"325","01562","9335"
"326","01564","6765"
"327","01566","5388"
"328","01568","6603"
"329","01569","11542"
"330","01570","12509"
"331","01571","8831"
"332","01581","14972"
"333","01583","5359"
"334","01585","3609"
"335","01588","7900"
"336","01590","7863"
"337","01602","16993"
"338","01603","15129"
"339","01604","25553"
"340","01605","19397"
"341","01606","14347"
"342","01607","6092"
"343","01608","2239"
"344","01609","11726"
"345","01610","14101"
"346","01611","1862"
"347","01612","3912"
"348","01701","25579"
"349","01702","24685"
"350","01718","396"
"351","01719","4275"
"352","01720","18507"
"353","01721","13998"
"354","01730","10930"
"355","01731","1239"
"356","01740","4480"
"357","01741","4485"
"358","01742","13606"
"359","01745","325"
"360","01746","12048"
"361","01747","5033"
"362","01748","13463"
"363","01749","15732"
"364","01752","29577"
"365","01754","8020"
"366","01756","5271"
"367","01757","22823"
"368","01760","26468"
"369","01770","3780"
"370","01772","8458"
"371","01773","4394"
"372","01775","5888"
"373","01776","16322"
"374","01778","11620"
"375","01801","30556"
"376","01803","21006"
"377","01810","28016"
"378","01821","26381"
"379","01824","21479"
"380","01826","24917"
"381","01827","2930"
"382","01830","18541"
"383","01832","17180"
"384","01833","7271"
"385","01834","5715"
"386","01835","10975"
"387","01840","2947"
"388","01841","38913"
"389","01843","19810"
"390","01844","39496"
"391","01845","23374"
"392","01850","12027"
"393","01851","24211"
"394","01852","24304"
"395","01854","18061"
"396","01860","5378"
"397","01862","7920"
"398","01863","7105"
"399","01864","12882"
"400","01867","20791"
"401","01876","24407"
"402","01879","9907"
"403","01880","19991"
"404","01886","20141"
"405","01887","19849"
"406","01890","18834"
"407","01901","733"
"408","01902","33995"
"409","01904","15227"
"410","01905","20699"
"411","01906","22128"
"412","01907","11509"
"413","01908","2584"
"414","01913","12581"
"415","01915","28321"
"416","01921","7400"
"417","01922","2693"
"418","01923","20812"
"419","01929","2862"
"420","01930","21820"
"421","01937","0"
"422","01938","10543"
"423","01940","10750"
"424","01944","4276"
"425","01945","16467"
"426","01949","6693"
"427","01950","12975"
"428","01951","2848"
"429","01952","6329"
"430","01960","40306"
"431","01966","5294"
"432","01969","5037"
"433","01970","28063"
"434","01982","6886"
"435","01983","5390"
"436","01984","3156"
"437","01985","3844"
"438","02019","13915"
"439","02021","17911"
"440","02025","6624"
"441","02026","19262"
"442","02030","5223"
"443","02032","3684"
"444","02035","14133"
"445","02038","27178"
"446","02043","18960"
"447","02045","7654"
"448","02047","129"
"449","02048","19985"
"450","02050","21718"
"451","02052","11037"
"452","02053","11272"
"453","02054","6689"
"454","02056","8277"
"455","02061","9362"
"456","02062","22113"
"457","02066","15185"
"458","02067","15860"
"459","02071","904"
"460","02072","22266"
"461","02081","15917"
"462","02090","13122"
"463","02093","9221"
"464","02108","1736"
"465","02109","1453"
"466","02110","879"
"467","02111","3687"
"468","02113","1764"
"469","02114","3913"
"470","02115","5490"
"471","02116","8315"
"472","02118","12465"
"473","02119","18763"
"474","02120","6260"
"475","02121","21119"
"476","02122","17541"
"477","02124","37885"
"478","02125","23581"
"479","02126","21085"
"480","02127","17360"
"481","02128","28966"
"482","02129","10314"
"483","02130","19628"
"484","02131","22816"
"485","02132","19548"
"486","02134","6891"
"487","02135","17307"
"488","02136","23326"
"489","02138","14010"
"490","02139","15374"
"491","02140","11098"
"492","02141","6314"
"493","02142","1276"
"494","02143","11721"
"495","02144","10582"
"496","02145","16824"
"497","02148","45340"
"498","02149","32711"
"499","02150","25984"
"500","02151","39649"
"501","02152","12995"
"502","02155","39683"
"503","02163","333"
"504","02169","37492"
"505","02170","14308"
"506","02171","12611"
"507","02176","21590"
"508","02180","17032"
"509","02184","29315"
"510","02186","22348"
"511","02188","10945"
"512","02189","11263"
"513","02190","12895"
"514","02191","6588"
"515","02199","502"
"516","02203","0"
"517","02210","776"
"518","02215","3107"
"519","02301","48249"
"520","02302","27427"
"521","02322","3594"
"522","02324","18305"
"523","02330","9799"
"524","02332","13430"
"525","02333","11878"
"526","02338","6354"
"527","02339","12507"
"528","02341","9046"
"529","02343","8978"
"530","02346","18865"
"531","02347","9297"
"532","02351","13117"
"533","02356","10323"
"534","02357","0"
"535","02359","15540"
"536","02360","44790"
"537","02364","10531"
"538","02366","0"
"539","02367","2440"
"540","02368","26643"
"541","02370","14046"
"542","02375","7704"
"543","02379","5681"
"544","02382","12176"
"545","02420","12367"
"546","02421","15143"
"547","02445","13763"
"548","02446","15869"
"549","02451","12915"
"550","02452","7616"
"551","02453","16749"
"552","02457","56"
"553","02458","8816"
"554","02459","14941"
"555","02460","6819"
"556","02461","5927"
"557","02462","1113"
"558","02464","2206"
"559","02465","9775"
"560","02466","5434"
"561","02467","12229"
"562","02468","4758"
"563","02472","21302"
"564","02474","19605"
"565","02476","12570"
"566","02478","20284"
"567","02481","13021"
"568","02482","8587"
"569","02492","17408"
"570","02493","9631"
"571","02494","7552"
"572","02532","8938"
"573","02534","613"
"574","02535","890"
"575","02536","15608"
"576","02537","5350"
"577","02538","2851"
"578","02539","2987"
"579","02540","5456"
"580","02542","644"
"581","02543","395"
"582","02553","171"
"583","02554","6899"
"584","02556","2447"
"585","02557","3123"
"586","02558","1559"
"587","02559","2514"
"588","02561","410"
"589","02562","2538"
"590","02563","8599"
"591","02564","217"
"592","02568","2759"
"593","02571","8132"
"594","02575","2033"
"595","02576","3033"
"596","02584","9"
"597","02601","9426"
"598","02630","1516"
"599","02631","7331"
"600","02632","8359"
"601","02633","2852"
"602","02635","2688"
"603","02637","211"
"604","02638","2458"
"605","02639","1895"
"606","02641","429"
"607","02642","3763"
"608","02643","16"
"609","02644","3533"
"610","02645","7504"
"611","02646","1171"
"612","02647","106"
"613","02648","6178"
"614","02649","10990"
"615","02650","525"
"616","02651","14"
"617","02652","781"
"618","02653","4156"
"619","02655","2743"
"620","02657","1062"
"621","02659","839"
"622","02660","4713"
"623","02663","119"
"624","02664","6738"
"625","02666","562"
"626","02667","1764"
"627","02668","2792"
"628","02669","220"
"629","02670","844"
"630","02671","682"
"631","02672","129"
"632","02673","6147"
"633","02675","5052"
"634","02702","3601"
"635","02703","34891"
"636","02713","43"
"637","02715","2745"
"638","02717","4158"
"639","02718","5737"
"640","02719","12235"
"641","02720","21438"
"642","02721","19976"
"643","02723","11079"
"644","02724","12462"
"645","02725","2107"
"646","02726","13099"
"647","02738","3931"
"648","02739","5056"
"649","02740","30884"
"650","02743","8787"
"651","02744","9104"
"652","02745","19078"
"653","02746","11343"
"654","02747","15026"
"655","02748","9391"
"656","02760","22206"
"657","02762","6779"
"658","02763","1757"
"659","02764","3440"
"660","02766","14809"
"661","02767","11589"
"662","02769","10358"
"663","02770","4602"
"664","02771","12117"
"665","02777","13398"
"666","02779","5779"
"667","02780","37727"
"668","02790","13383"
"669","02791","167"
"670","02802","516"
"671","02804","2225"
"672","02806","14632"
"673","02807","739"
"674","02808","2061"
"675","02809","15661"
"676","02812","1349"
"677","02813","6418"
"678","02814","6394"
"679","02815","244"
"680","02816","26900"
"681","02817","5398"
"682","02818","14846"
"683","02822","5019"
"684","02825","4670"
"685","02826","678"
"686","02827","1905"
"687","02828","6067"
"688","02830","5066"
"689","02831","3099"
"690","02832","3807"
"691","02833","623"
"692","02835","4417"
"693","02836","105"
"694","02837","2901"
"695","02838","2484"
"696","02839","1614"
"697","02840","13922"
"698","02841","6"
"699","02842","12396"
"700","02852","18587"
"701","02857","7390"
"702","02858","499"
"703","02859","5286"
"704","02860","34109"
"705","02861","20528"
"706","02863","15103"
"707","02864","28027"
"708","02865","14300"
"709","02871","14116"
"710","02872","164"
"711","02873","198"
"712","02874","5131"
"713","02875","253"
"714","02876","236"
"715","02878","12886"
"716","02879","15903"
"717","02881","1780"
"718","02882","8570"
"719","02885","7835"
"720","02886","21724"
"721","02888","15314"
"722","02889","22564"
"723","02891","16252"
"724","02892","4138"
"725","02893","21575"
"726","02894","624"
"727","02895","30255"
"728","02896","9455"
"729","02898","1457"
"730","02903","2801"
"731","02904","20869"
"732","02905","18902"
"733","02906","13538"
"734","02907","22300"
"735","02908","25413"
"736","02909","33102"
"737","02910","16793"
"738","02911","11035"
"739","02912","4"
"740","02914","16680"
"741","02915","12587"
"742","02916","6492"
"743","02917","8804"
"744","02919","22780"
"745","02920","26279"
"746","02921","11099"
"747","03031","10207"
"748","03032","4460"
"749","03033","4567"
"750","03034","3434"
"751","03036","4235"
"752","03037","3653"
"753","03038","27277"
"754","03042","5223"
"755","03043","1343"
"756","03044","3728"
"757","03045","10751"
"758","03046","2403"
"759","03047","1333"
"760","03048","2756"
"761","03049","6903"
"762","03051","20928"
"763","03052","7405"
"764","03053","21347"
"765","03054","21897"
"766","03055","12148"
"767","03057","2259"
"768","03060","20839"
"769","03062","21758"
"770","03063","12250"
"771","03064","11080"
"772","03070","4610"
"773","03071","4402"
"774","03076","11605"
"775","03077","8358"
"776","03079","23972"
"777","03082","1369"
"778","03084","1108"
"779","03086","3113"
"780","03087","12246"
"781","03101","1293"
"782","03102","20931"
"783","03103","27354"
"784","03104","22275"
"785","03106","10575"
"786","03109","8346"
"787","03110","18590"
"788","03215","201"
"789","03216","1645"
"790","03217","1444"
"791","03218","813"
"792","03220","5998"
"793","03221","1712"
"794","03222","4284"
"795","03223","2722"
"796","03224","1959"
"797","03225","3103"
"798","03226","872"
"799","03227","738"
"800","03229","4760"
"801","03230","962"
"802","03231","168"
"803","03233","91"
"804","03234","3762"
"805","03235","6470"
"806","03237","1893"
"807","03238","64"
"808","03240","1057"
"809","03241","702"
"810","03242","3270"
"811","03243","899"
"812","03244","6461"
"813","03245","1610"
"814","03246","11518"
"815","03249","5870"
"816","03251","1206"
"817","03253","4794"
"818","03254","3364"
"819","03255","1776"
"820","03256","1768"
"821","03257","2799"
"822","03258","2177"
"823","03259","282"
"824","03260","682"
"825","03261","3564"
"826","03262","884"
"827","03263","3231"
"828","03264","3159"
"829","03266","1731"
"830","03268","1078"
"831","03269","2494"
"832","03273","252"
"833","03275","9203"
"834","03276","6351"
"835","03278","2290"
"836","03279","632"
"837","03280","928"
"838","03281","7701"
"839","03282","720"
"840","03284","849"
"841","03285","1929"
"842","03287","1054"
"843","03290","4126"
"844","03291","24"
"845","03293","95"
"846","03301","21897"
"847","03303","11645"
"848","03304","6820"
"849","03307","4464"
"850","03431","15075"
"851","03440","2173"
"852","03441","314"
"853","03442","1196"
"854","03443","621"
"855","03444","1287"
"856","03445","557"
"857","03446","5080"
"858","03447","1937"
"859","03448","663"
"860","03449","1313"
"861","03450","735"
"862","03451","3157"
"863","03452","4277"
"864","03455","1594"
"865","03456","599"
"866","03457","681"
"867","03458","4938"
"868","03461","4092"
"869","03462","1316"
"870","03464","892"
"871","03465","1693"
"872","03466","1112"
"873","03467","1357"
"874","03470","3957"
"875","03561","4427"
"876","03570","6810"
"877","03574","1934"
"878","03575","36"
"879","03576","2385"
"880","03579","313"
"881","03580","1015"
"882","03581","2496"
"883","03582","2043"
"884","03583","901"
"885","03584","2717"
"886","03585","2028"
"887","03586","438"
"888","03588","1343"
"889","03590","761"
"890","03592","895"
"891","03593","253"
"892","03595","482"
"893","03597","316"
"894","03598","2497"
"895","03601","387"
"896","03602","2116"
"897","03603","4198"
"898","03604","58"
"899","03605","915"
"900","03607","259"
"901","03608","2241"
"902","03609","669"
"903","03740","766"
"904","03741","3334"
"905","03743","10217"
"906","03745","1192"
"907","03746","180"
"908","03748","3676"
"909","03750","764"
"910","03751","406"
"911","03752","648"
"912","03753","2512"
"913","03754","59"
"914","03755","4644"
"915","03765","391"
"916","03766","6097"
"917","03768","1438"
"918","03770","428"
"919","03771","643"
"920","03773","6020"
"921","03774","1347"
"922","03777","980"
"923","03779","646"
"924","03780","308"
"925","03781","1542"
"926","03782","2404"
"927","03784","2843"
"928","03785","1709"
"929","03801","13653"
"930","03809","3110"
"931","03810","1222"
"932","03811","5842"
"933","03812","612"
"934","03813","2594"
"935","03814","1761"
"936","03816","1133"
"937","03817","402"
"938","03818","2792"
"939","03819","3789"
"940","03820","20429"
"941","03823","1457"
"942","03824","4533"
"943","03825","7138"
"944","03826","1983"
"945","03827","2767"
"946","03830","1307"
"947","03832","289"
"948","03833","16406"
"949","03835","5460"
"950","03836","1176"
"951","03837","1334"
"952","03838","764"
"953","03839","3024"
"954","03840","2955"
"955","03841","5473"
"956","03842","11227"
"957","03844","1935"
"958","03845","691"
"959","03846","587"
"960","03847","216"
"961","03848","5129"
"962","03849","1276"
"963","03850","296"
"964","03851","3291"
"965","03852","472"
"966","03853","507"
"967","03854","792"
"968","03855","2236"
"969","03856","1552"
"970","03857","6410"
"971","03858","3982"
"972","03860","2736"
"973","03861","3547"
"974","03862","3620"
"975","03864","1198"
"976","03865","6402"
"977","03867","15711"
"978","03868","4255"
"979","03869","2005"
"980","03870","4168"
"981","03871","123"
"982","03872","3157"
"983","03873","5031"
"984","03874","6659"
"985","03875","652"
"986","03878","9030"
"987","03882","1166"
"988","03883","128"
"989","03884","3495"
"990","03885","6306"
"991","03886","1613"
"992","03887","1823"
"993","03890","260"
"994","03894","4984"
"995","03901","6102"
"996","03902","1744"
"997","03903","5166"
"998","03904","5512"
"999","03905","1381"
"1000","03906","3828"
"1001","03907","554"
"1002","03908","6133"
"1003","03909","8002"
"1004","03910","239"
"1005","03911","178"
"1006","04001","1967"
"1007","04002","5838"
"1008","04003","242"
"1009","04005","15786"
"1010","04006","46"
"1011","04008","2233"
"1012","04009","3866"
"1013","04010","1296"
"1014","04011","13851"
"1015","04015","2991"
"1016","04017","258"
"1017","04019","60"
"1018","04020","1114"
"1019","04021","5198"
"1020","04022","924"
"1021","04024","505"
"1022","04027","5118"
"1023","04029","1358"
"1024","04030","1841"
"1025","04032","6285"
"1026","04037","2939"
"1027","04038","12301"
"1028","04039","5952"
"1029","04040","2517"
"1030","04041","1288"
"1031","04042","3513"
"1032","04043","8474"
"1033","04046","6063"
"1034","04047","1485"
"1035","04048","2434"
"1036","04049","3081"
"1037","04050","196"
"1038","04051","971"
"1039","04055","3036"
"1040","04056","217"
"1041","04057","11"
"1042","04061","2903"
"1043","04062","13260"
"1044","04063","209"
"1045","04064","5283"
"1046","04066","397"
"1047","04068","1185"
"1048","04069","1205"
"1049","04071","4001"
"1050","04072","14190"
"1051","04073","12306"
"1052","04074","15346"
"1053","04076","2192"
"1054","04079","3032"
"1055","04083","3411"
"1056","04084","6049"
"1057","04085","1531"
"1058","04086","6898"
"1059","04087","1782"
"1060","04088","1235"
"1061","04090","7579"
"1062","04091","776"
"1063","04092","12788"
"1064","04093","6621"
"1065","04095","1051"
"1066","04096","6640"
"1067","04097","3173"
"1068","04101","6844"
"1069","04102","10157"
"1070","04103","20599"
"1071","04105","9312"
"1072","04106","17715"
"1073","04107","7699"
"1074","04108","606"
"1075","04109","77"
"1076","04110","1165"
"1077","04210","16486"
"1078","04216","521"
"1079","04217","2547"
"1080","04219","1179"
"1081","04220","2430"
"1082","04221","758"
"1083","04222","3259"
"1084","04224","2432"
"1085","04226","136"
"1086","04227","58"
"1087","04228","3"
"1088","04231","184"
"1089","04234","145"
"1090","04236","3624"
"1091","04237","166"
"1092","04238","1046"
"1093","04239","3874"
"1094","04240","24995"
"1095","04250","3313"
"1096","04252","3895"
"1097","04253","1717"
"1098","04254","2387"
"1099","04255","625"
"1100","04256","2430"
"1101","04257","2000"
"1102","04258","2205"
"1103","04259","2754"
"1104","04260","4590"
"1105","04261","318"
"1106","04263","1942"
"1107","04265","758"
"1108","04267","26"
"1109","04268","3737"
"1110","04270","4603"
"1111","04271","52"
"1112","04274","4407"
"1113","04275","386"
"1114","04276","4210"
"1115","04280","5304"
"1116","04281","3671"
"1117","04282","4818"
"1118","04284","912"
"1119","04285","353"
"1120","04286","37"
"1121","04287","2743"
"1122","04289","1357"
"1123","04290","1258"
"1124","04292","767"
"1125","04294","3161"
"1126","04330","18016"
"1127","04342","1341"
"1128","04343","22"
"1129","04344","2262"
"1130","04345","9150"
"1131","04346","1334"
"1132","04347","1437"
"1133","04348","2393"
"1134","04349","925"
"1135","04350","2916"
"1136","04351","2137"
"1137","04352","1314"
"1138","04353","1846"
"1139","04354","1281"
"1140","04355","2158"
"1141","04357","2738"
"1142","04358","3555"
"1143","04359","311"
"1144","04360","471"
"1145","04363","2068"
"1146","04364","4751"
"1147","04401","29489"
"1148","04406","640"
"1149","04408","136"
"1150","04410","1018"
"1151","04411","1157"
"1152","04412","6883"
"1153","04413","152"
"1154","04414","989"
"1155","04415","206"
"1156","04416","4290"
"1157","04417","283"
"1158","04418","1395"
"1159","04419","2375"
"1160","04421","498"
"1161","04422","1025"
"1162","04424","633"
"1163","04426","3521"
"1164","04427","2334"
"1165","04428","2523"
"1166","04429","3886"
"1167","04430","1343"
"1168","04431","55"
"1169","04434","993"
"1170","04435","895"
"1171","04438","920"
"1172","04441","1356"
"1173","04442","55"
"1174","04443","1967"
"1175","04444","7339"
"1176","04448","1088"
"1177","04449","1203"
"1178","04450","1067"
"1179","04451","202"
"1180","04453","600"
"1181","04454","55"
"1182","04455","694"
"1183","04456","2363"
"1184","04457","4799"
"1185","04459","596"
"1186","04460","1145"
"1187","04461","2299"
"1188","04462","3622"
"1189","04463","2165"
"1190","04464","522"
"1191","04468","6587"
"1192","04469","2"
"1193","04471","466"
"1194","04472","1638"
"1195","04473","3399"
"1196","04474","3108"
"1197","04475","317"
"1198","04476","888"
"1199","04478","236"
"1200","04479","1051"
"1201","04481","456"
"1202","04485","166"
"1203","04487","739"
"1204","04488","998"
"1205","04489","110"
"1206","04490","236"
"1207","04491","116"
"1208","04492","132"
"1209","04493","1609"
"1210","04495","326"
"1211","04496","3123"
"1212","04497","310"
"1213","04530","7915"
"1214","04535","583"
"1215","04537","1684"
"1216","04538","1319"
"1217","04539","940"
"1218","04541","67"
"1219","04543","1540"
"1220","04544","589"
"1221","04547","936"
